"La tendance à rechercher d'avantage d'informations en pensant que cela nous mènera à prendre de meilleures décisions, même quand cela ne peut pas affecter l'action.",Biais d'information (Mémoire & souvenirs)
"Un stimulus vague et aléatoire souvent une image ou un son est perçu comme significatif. Par exemple, voir des images d'animaux ou de visages dans des nuages, etc.",Paréidolie (Mémoire & souvenirs)
Un élément bizarre est mieux retenu qu'un élément commun.,Effet de bizarrerie (Mémoire & souvenirs)
"La mémoire dépend du contexte. Les souvenirs hors contexte sont plus difficiles à récupérer que les souvenirs en contexte. Par exemple, le temps de rappel et la précision d'une mémoire liée au travail seront plus faibles à la maison.",Effet de contexte (Mémoire & souvenirs)
La tendance à oublier des informations facilement accessibles en ligne grâce aux moteurs de recherche Internet.,Effet Google (Mémoire & souvenirs)
On se souvient plus facilement des éléments humoristiques que des éléments non-humoristiques.,Effet d'humour (Mémoire & souvenirs)
Les concepts appris en visionnant des images sont rappelés plus facilement et plus fréquemment que les concepts appris en visionnant leurs contreparties sous forme écrite. Les stimuli visuels ont un impact émotionnel bien plus important et restent bien plus longtemps à l’esprit que les textes.,Effet de supériorité de l'image (Mémoire & souvenirs)
Il est plus facile de se souvenir des éléments situés au début et à la fin d'une séquence ; les éléments au milieu sont les moins susceptibles d'être retenus.,Effet de primauté (Mémoire & souvenirs)
Il est plus efficace de se rappeler une information si son exposition est répétée sur une longue période et espacée dans le temps plutôt que concentrée sur une courte durée.,Effet d'espacement (Mémoire & souvenirs)
"La tendance à se souvenir mieux de « l'essentiel » de ce que quelqu'un a dit que la formulation textuelle exacte. En effet, les souvenirs sont des représentations et non des copies exactes.",Effet verbatim (Mémoire & souvenirs)
La tendance à mieux se remémorer celui qui diffère le plus des autres lors d'une exposition à plusieurs objets similaires.,Effet d'isolation (Von Restorff) (Mémoire & souvenirs)
La tendance des personnes expertes dans un domaine à perdre la capacité à transmettre leur savoir et à se mettre à la place des non-initiées au fur et à mesure de l’accroissement de leur savoir dans ce domaine.,Malédiction de la connaissance (Raisonnement & résolution de problèmes)
"La tendance à rechercher, à interpréter, à privilégier et à mémoriser les informations qui confirment ses idées préconçues ou ses propres hypothèses et à accorder moins de poids aux autres.",Biais de confirmation (Raisonnement & résolution de problèmes)
La tendance à faire (ou à croire) des choses parce que beaucoup d'autres personnes font (ou croient) la même chose. Relatif à la pensée de groupe et au comportement du troupeau.,Effet de groupe (Raisonnement & résolution de problèmes)
"La tendance à privilégier les résultats des systèmes automatisés au dépend de ceux générés par des systèmes non-automatisés. Elle peut conduire à des informations automatisées erronées, annulant les décisions correctes qui auraient été prises par des systèmes non automatisés.",Biais d'automatisation (Raisonnement & résolution de problèmes)
